userid,firstname,lastname,email,CountryCode,Number,DOB,Gender,FacultyID,Passwords,usertype
26886177,David,Davis,david.davis@hotmail.com,614,88971164,27/12/1973,Male,F002,Qe2h6sGpTL,guest
26534604,Bob,Smith,bob.smith@hotmail.com,614,88836515,15/08/1998,Female,F003,8!6Ltyk?rf,student
21669216,Frank,Smith,frank.smith@gmail.com,614,85568479,16/12/1966,Female,F008,^QMjM_to^j,guest
18976917,Emily,Hernandez,emily.hernandez@yahoo.com,614,86979427,16/09/1973,Female,F003,O#t%fgUU4b,teacher
24188139,John,Gonzalez,john.gonzalez@outlook.com,614,85296672,8/01/1970,Female,F002,ZwfFb*riU.,guest
35950923,Alice,Wilson,alice.wilson@icloud.com,614,86927121,2/04/2003,Male,F001,Y#Lq8SAuk&,guest
37008613,Harry,Hernandez,harry.hernandez@gmail.com,614,86474139,22/07/2002,Male,F004,u$nmp430-v,guest
39861182,David,Davis,david.davis@outlook.com,614,88776575,9/04/1969,Female,F010,1gQ2#&P-G*,guest
36960349,Emily,Wilson,emily.wilson@gmail.com,614,81859842,10/06/1999,Female,F010,n!zKsUgLpN,guest
39797249,Bob,Rodriguez,bob.rodriguez@outlook.com,614,87231899,1/10/1993,Male,F008,1?H-JdSvE.,guest
12396530,Isabel,Wilson,isabel.wilson@gmail.com,614,86423358,13/03/1969,Female,F004,4$hpmIbVsH,teacher
38293620,Isabel,Miller,isabel.miller@icloud.com,614,81516749,23/08/1978,Female,F010,ojL7#%rY#U,teacher
10964458,John,Martinez,john.martinez@outlook.com,614,84655579,12/10/2000,Female,F008,Mr99na.g^C,student
17858257,Charlie,Martinez,charlie.martinez@yahoo.com,614,84174113,2/06/1967,Male,F001,Bhh1ZGL4HJ,teacher
26901731,Frank,Smith,frank.smith@gmail.com,614,82759218,13/02/1999,Female,F009,#r7rIzgvax,guest
27730830,Emily,Smith,emily.smith@outlook.com,614,88128253,25/05/1977,Male,F007,K77ur^lYI7,teacher
14911172,David,Hernandez,david.hernandez@icloud.com,614,85416369,28/05/1996,Male,F001,L2OCC@k.IQ,teacher
28407637,Bob,Martinez,bob.martinez@icloud.com,614,83765379,3/04/1984,Female,F003,E5i*bu5A#W,student
11493319,Alice,Gonzalez,alice.gonzalez@hotmail.com,614,89396541,2/11/1965,Female,F004,2k.1Lmc10V,guest
31396280,John,Miller,john.miller@yahoo.com,614,88171274,28/01/1994,Female,F009,wTC%0woFdq,student
13325603,John,Miller,john.miller@icloud.com,614,89655173,26/03/1978,Female,F003,#X8vga*7lY,student
39215908,Isabel,Jones,isabel.jones@hotmail.com,614,85288777,19/01/1983,Female,F008,u!7N#Pe_@g,guest
25977181,Alice,Martinez,alice.martinez@outlook.com,614,84697168,25/08/1977,Female,F004,jYfg?9Z0f^,teacher
15046991,John,Wilson,john.wilson@gmail.com,614,85239753,24/11/1992,Female,F006,%XnfGHWQsF,student
12714379,Bob,Rodriguez,bob.rodriguez@hotmail.com,614,85146686,28/01/1966,Male,F004,hxBy-WE2C$,teacher
10582832,Alice,Wilson,alice.wilson@outlook.com,614,84574976,1/09/1969,Female,F007,x8zpZ2Q2v9,teacher
33378113,Harry,Miller,harry.miller@hotmail.com,614,83577521,25/03/1994,Female,F004,BwfWLotiQ%,student
18884278,David,Miller,david.miller@outlook.com,614,81324413,29/10/1998,Female,F004,_FV3t@PbVv,guest
14632908,Emily,Miller,emily.miller@icloud.com,614,86476556,27/11/1975,Female,F001,c^EKk4YynQ,guest
34965789,Alice,Hernandez,alice.hernandez@outlook.com,614,85445124,2/01/1998,Male,F010,j#OewOMO*B,teacher
14243567,Alice,Smith,alice.smith@yahoo.com,614,84111981,18/11/1982,Female,F002,A8QqGE#05V,guest
19465098,Bob,Wilson,bob.wilson@hotmail.com,614,88371765,29/05/1991,Female,F007,^$_@2_bAjH,teacher
31175046,Alice,Miller,alice.miller@icloud.com,614,81937867,14/06/1995,Male,F005,ym$z*^8zLv,guest
31575171,Harry,Miller,harry.miller@yahoo.com,614,84457712,20/12/1984,Female,F009,c!-N9Krj_h,student
24835840,Bob,Rodriguez,bob.rodriguez@gmail.com,614,88896521,8/04/1974,Male,F007,o^?LHSBYAS,student
